predicted_relevance,doc,doc_score,label,query_id
4.74475387696339,doc_254,0.0,0,4
4.315205653041319,doc_1289,3.0,1,4
4.10872348195652,doc_2874,1.0,1,4
4.10872348195652,doc_2834,0.0,0,4
4.10872348195652,doc_174,0.0,0,4
4.067471844340135,doc_2484,3.0,1,4
3.962766890072915,doc_493,0.0,0,4
3.674842282261912,doc_2505,1.0,1,4
3.674842282261912,doc_249,1.0,1,4
3.674842282261912,doc_1078,0.0,0,4
4.132642169823945,doc_3964,3.0,1,5
3.792112455030452,doc_865,2.0,1,5
3.6962351566905367,doc_3933,2.0,1,5
3.6962351566905367,doc_259,0.0,0,5
3.6962351566905367,doc_1635,3.0,1,5
3.6069700858223395,doc_1252,1.0,1,5
3.5243172424258606,doc_27,1.0,1,5
3.44662356963317,doc_2538,0.0,0,5
3.373889067444269,doc_197,2.0,1,5
3.241644518009903,doc_2329,1.0,1,5
2.8749627271127562,doc_2687,3.0,1,6
2.8749627271127562,doc_1555,3.0,1,6
2.638065798398665,doc_1226,3.0,1,6
2.5713666631296492,doc_3735,3.0,1,6
2.5713666631296492,doc_372,3.0,1,6
2.5713666631296492,doc_3658,1.0,1,6
2.5713666631296492,doc_3409,0.0,0,6
2.5713666631296492,doc_339,2.0,1,6
2.5713666631296492,doc_3068,0.0,0,6
2.5713666631296492,doc_3060,0.0,0,6
3.794380721457354,doc_1317,2.0,1,7
3.250375687450309,doc_1672,3.0,1,7
2.9694789323793103,doc_1493,3.0,1,7
2.907136014855557,doc_2901,3.0,1,7
2.8189040144223148,doc_824,2.0,1,7
2.8189040144223148,doc_1862,2.0,1,7
2.8189040144223148,doc_1147,3.0,1,7
2.7080811513683023,doc_2488,2.0,1,7
2.7080811513683023,doc_1374,1.0,1,7
2.6536067112344326,doc_3998,0.0,0,7
2.8184075410327574,doc_370,2.0,1,8
2.77975276449882,doc_2794,3.0,1,8
2.7583100467507595,doc_1417,0.0,0,8
2.750342242635723,doc_3501,3.0,1,8
2.746573006641334,doc_557,2.0,1,8
2.6689002423135753,doc_3012,3.0,1,8
2.6689002423135753,doc_2934,0.0,0,8
2.6689002423135753,doc_2813,1.0,1,8
2.654413701656481,doc_772,0.0,0,8
2.6469033472308743,doc_2950,2.0,1,8
